# Informe Mensal FIDC — observed CSV headers, competência 2026-08 (fetched 2026-09-11 from dados.cvm.gov.br)
# One block per ZIP member. Separator ';'. Encoding latin-1. This is the raw observation the mapping freeze (BACKLOG #1) diffs against Suplemento G.

## inf_mensal_fidc_tab_III_202608.csv  (13 columns, 664 data rows)
   12  TAB_X_SCR_RISCO_DEVEDOR_G
   13  TAB_X_SCR_RISCO_DEVEDOR_H
   14  TAB_X_SCR_RISCO_OPER_AA
   15  TAB_X_SCR_RISCO_OPER_A
   16  TAB_X_SCR_RISCO_OPER_B
   17  TAB_X_SCR_RISCO_OPER_C
   18  TAB_X_SCR_RISCO_OPER_D
   19  TAB_X_SCR_RISCO_OPER_E
   20  TAB_X_SCR_RISCO_OPER_F
   21  TAB_X_SCR_RISCO_OPER_G
   22  TAB_X_SCR_RISCO_OPER_H
   23  TAB_X_DEBITO_TRIBUT

## inf_mensal_fidc_tab_X_2_202608.csv  (7 columns, 1573 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_X_CLASSE_SERIE
    6  TAB_X_QT_COTA
    7  TAB_X_VL_COTA

## inf_mensal_fidc_tab_X_3_202608.csv  (6 columns, 1573 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_X_CLASSE_SERIE
    6  TAB_X_VL_RENTAB_MES

## inf_mensal_fidc_tab_X_4_202608.csv  (8 columns, 6133 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_X_TP_OPER
    6  TAB_X_CLASSE_SERIE
    7  TAB_X_VL_TOTAL
    8  TAB_X_QT_COTA

## inf_mensal_fidc_tab_X_5_202608.csv  (11 columns, 664 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_X_VL_LIQUIDEZ_0
    6  TAB_X_VL_LIQUIDEZ_30
    7  TAB_X_VL_LIQUIDEZ_60
    8  TAB_X_VL_LIQUIDEZ_90
    9  TAB_X_VL_LIQUIDEZ_180
   10  TAB_X_VL_LIQUIDEZ_360
   11  TAB_X_VL_LIQUIDEZ_MAIOR_360

## inf_mensal_fidc_tab_X_6_202608.csv  (7 columns, 1565 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_X_CLASSE_SERIE
    6  TAB_X_PR_DESEMP_ESPERADO
    7  TAB_X_PR_DESEMP_REAL

## inf_mensal_fidc_tab_X_7_202608.csv  (6 columns, 664 data rows)
    1  TP_FUNDO_CLASSE
    2  CNPJ_FUNDO_CLASSE
    3  DENOM_SOCIAL
    4  DT_COMPTC
    5  TAB_X_VL_GARANTIA_DIRCRED
    6  TAB_X_PR_GARANTIA_DIRCRED
